Ref,Value,Footprint,Datasheet,Manufacturer,Vendor
C1,100n,LercheTech:Lerche_C0603,,,
C2,100n,LercheTech:Lerche_C0603,,,
C3,10uF,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_Reflow,,,
C4,10uF,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_Reflow,,,
C5,18p,LercheTech:Lerche_C0603,,,
C6,100n,LercheTech:Lerche_C0603,,,
C7,10uF,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_Reflow,,,
C8,100nF,LercheTech:Lerche_C0603,,,
C9,18p,LercheTech:Lerche_C0603,,,
C10,10uF,Capacitors_Tantalum_SMD:TantalC_SizeA_EIA-3216_Reflow,,,
C11,100uF,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,,,
C12,100n,LercheTech:Lerche_C0603,,,
C13,100n,LercheTech:Lerche_C0603,,,
C14,100n,LercheTech:Lerche_C0603,,,
C15,100n,LercheTech:Lerche_C0603,,,
C16,100n,LercheTech:Lerche_C0603,,,
C17,100n,LercheTech:Lerche_C0603,,,
C18,100pF,LercheTech:Lerche_C0603,,,
C19,100n,LercheTech:Lerche_C0603,,,
C20,100n,LercheTech:Lerche_C0603,,,
C21,100n,LercheTech:Lerche_C0603,,,
C22,100n,LercheTech:Lerche_C0603,,,
C23,100n,LercheTech:Lerche_C0603,,,
C24,100uF,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,,,
C25,100uF,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,,,
C26,100uF,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,,,
C27,100uF,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,,,
C28,100n,LercheTech:Lerche_C0603,,,
C29,100n,LercheTech:Lerche_C0603,,,
C30,100n,LercheTech:Lerche_C0603,,,
C31,100n,LercheTech:Lerche_C0603,,,
C32,100n,LercheTech:Lerche_C0603,,,
C33,100n,LercheTech:Lerche_C0603,,,
C34,100n,LercheTech:Lerche_C0603,,,
C35,100n,LercheTech:Lerche_C0603,,,
C36,100nF,LercheTech:Lerche_C0603,,,
C37,100nF,LercheTech:Lerche_C0603,,,
C38,10n,LercheTech:Lerche_C0603,,,
C39,100n,LercheTech:Lerche_C0603,,,
C40,220n,LercheTech:Lerche_C0603,,,
C41,220n,LercheTech:Lerche_C0603,,,
C42,220n,LercheTech:Lerche_C0603,,,
C43,47uF,Capacitors_SMD:c_elec_5x5.8,,,
C44,100n,LercheTech:Lerche_C0603,,,
C45,100n,LercheTech:Lerche_C0603,,,
C46,100n,LercheTech:Lerche_C0603,,,
C47,100n,LercheTech:Lerche_C0603,,,
C48,220n,LercheTech:Lerche_C0603,,,
C49,1uF,LercheTech:Lerche_C0603,,,
C50,100n,LercheTech:Lerche_C0603,,,
C51,100n,LercheTech:Lerche_C0603,,,
C52,100n,LercheTech:Lerche_C0603,,,
C53,100n,LercheTech:Lerche_C0603,,,
C54,100n,LercheTech:Lerche_C0603,,,
C55,220n,LercheTech:Lerche_C0603,,,
C64,100n,LercheTech:Lerche_C0603,,,
C65,100n,LercheTech:Lerche_C0603,,,
C67,100n,LercheTech:Lerche_C0603,,,
C69,100n,LercheTech:Lerche_C0603,,,
C70,100uF,Capacitors_ThroughHole:C_Radial_D6.3_L11.2_P2.5,,,
C71,100n,LercheTech:Lerche_C0603,,,
CONN1,USB_MINI,LercheTech:Lerche_MINI_USB,,,
D1,LED,LEDs:LED_0603,,,
D2,LED,LEDs:LED_0603,,,
D3,LED,LEDs:LED_0603,,,
D4,LED,LEDs:LED_0603,,,
D5,DIODESCH,LercheTech:Lerche_SOD323,,,
D6,LED,LEDs:LED_0603,,,
D7,LED,LEDs:LED_0603,,,
D8,LED,LEDs:LED_0603,,,
D9,DIODESCH,LercheTech:Lerche_SOD323,,,
D10,Vz10V/0.5W,Diodes_SMD:SMA_Standard,,,
D11,LED,LEDs:LED_0603,,,
D12,LED,LEDs:LED_0603,,,
D13,LED,LEDs:LED_0603,,,
D14,LED,LEDs:LED_0603,,,
FID1,FIDUCIAL,LercheTech:Lerche_Fiducial,,,
FID2,FIDUCIAL,LercheTech:Lerche_Fiducial,,,
FID3,FIDUCIAL,LercheTech:Lerche_Fiducial,,,
FID4,FIDUCIAL,LercheTech:Lerche_Fiducial,,,
IC1,A5984_LP,LercheTech:Lerche_TSSOP24_EP,,,
IC2,A5984_LP,LercheTech:Lerche_TSSOP24_EP,,,
IC3,A5984_LP,LercheTech:Lerche_TSSOP24_EP,,,
IC4,A5984_LP,LercheTech:Lerche_TSSOP24_EP,,,
IC5,A5984_LP,LercheTech:Lerche_TSSOP24_EP,,,
IC6,MP9943,LercheTech:Lerche_MP9943,,,
J2,,LercheTech:Lerche_2PsolderJumper,,,
J3,,LercheTech:Lerche_2PsolderJumper,,,
J4,,LercheTech:Lerche_2PsolderJumper,,,
J5,,LercheTech:Lerche_2PsolderJumper,,,
J6,,LercheTech:Lerche_2PsolderJumper,,,
J7,,LercheTech:Lerche_2PsolderJumper,,,
J8,,LercheTech:Lerche_2PsolderJumper,,,
J9,,LercheTech:Lerche_2PsolderJumper,,,
J10,,LercheTech:Lerche_2PsolderJumper,,,
J11,,LercheTech:Lerche_2PsolderJumper,,,
J12,,LercheTech:Lerche_2PsolderJumper,,,
J13,,LercheTech:Lerche_2PsolderJumper,,,
J14,,LercheTech:Lerche_2PsolderJumper,,,
J15,,LercheTech:Lerche_2PsolderJumper,,,
J16,,LercheTech:Lerche_2PsolderJumper,,,
K1,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,,,
K2,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,,,
K3,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,,,
K4,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,,,
K5,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,,,
K6,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,,,
K7,CONN_3,LercheTech:Lerche_3P_1.27MM,,,
K8,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,,,
K9,CONN_3,Pin_Headers:Pin_Header_Straight_1x03,,,
